paddy_id,mesh_rakusui,mesh_paddy,dist,orifice,drn_id,total_distance
212,4204,4605,106.1455778076173,1.0,21822.0,2799.137948257903
213,4204,4614,261.236754220278,1.0,21822.0,2799.137948257903
214,4582,4637,7.864716131632198,1.0,21822.0,2593.183961180573
215,4204,4643,109.05902645148078,1.0,21822.0,2799.137948257903
216,4204,4649,289.8755800310477,1.0,21822.0,2799.137948257903
217,4657,4657,0.0,1.0,21822.0,4227.319444064075
218,4667,4659,22.350671900765864,1.0,21822.0,3399.218012420745
219,4667,4667,0.0,1.0,21822.0,3399.218012420745
220,5035,4676,101.78194401007438,1.0,21822.0,4189.7893242899845
221,5035,4695,15.26356535637242,1.0,21822.0,4189.7893242899845
222,4973,4697,19.951351409036324,1.0,21822.0,4223.2625025598645
223,4705,4705,0.0,1.0,21822.0,3574.218012420745
224,4717,4717,0.0,1.0,21822.0,3424.218012420745
225,4807,4734,14.485153298386292,1.0,21822.0,3279.484694426994
226,4672,4742,36.732943091827735,1.0,21822.0,4077.3194440640746
227,891,4752,11.615652740727286,1.0,21822.0,3254.484694426994
228,917,4759,18.97611553144392,1.0,21822.0,4052.3194440640746
229,5035,4766,108.39710954123406,1.0,21822.0,4189.7893242899845
230,5001,4781,15.392438079057966,1.0,21822.0,3293.145067335719
231,4791,4791,0.0,1.0,21822.0,3122.011611704868
232,4806,4806,0.0,1.0,21822.0,3279.484694426994
233,4815,4815,0.0,1.0,21822.0,3080.5164099758626
234,4820,4820,0.0,1.0,21822.0,3988.6585764937095
235,858,4833,17.11991069443137,1.0,21822.0,3151.06277035403
236,916,4837,20.54696510323584,1.0,21822.0,4027.3194440640746
237,4848,4848,0.0,1.0,21822.0,3988.6585764937095
238,4977,4851,9.592432124629767,1.0,21822.0,3076.0627703540295
239,4865,4865,0.0,1.0,21822.0,3055.5164099758626
240,4876,4876,0.0,1.0,21822.0,3055.5164099758626
241,4669,4883,20.20571707690269,1.0,21822.0,3399.218012420745
242,4708,4891,17.773138877772855,1.0,21822.0,4322.865804442242
243,4957,4903,11.767175971734794,1.0,21822.0,4349.437187726872
244,4971,4905,9.434696397070075,1.0,21822.0,4322.865804442242
245,4674,4915,12.312369138344572,1.0,21822.0,4077.3194440640746
246,918,4926,12.312369138351098,1.0,21822.0,4052.3194440640746
247,4673,4935,20.794996404832396,1.0,21822.0,4077.3194440640746
248,4719,4947,10.04845922847604,1.0,21822.0,3399.218012420745
249,4949,4949,0.0,1.0,21822.0,3574.218012420745
